provider,supportedSecret,secretType,isPublic,hasPushProtection,hasValidityCheck,hasExtendedMetadata,base64Supported
Naver Cloud,Naver Cloud Secure Token Service Secret,navercloud_pub_sts_secret,True,True,False,False,False
Neon,Neon API Key,neon_api_key,True,False,False,False,False
Neon,Neon Connection URI,neon_connection_uri,True,False,False,False,False
Netflix,Netflix NetKey,netflix_netkey,True,True,False,False,False
New Relic,New Relic Insights Query Key,new_relic_insights_query_key,False,True,False,False,False
New Relic,New Relic License Key,new_relic_license_key,False,False,False,False,False
New Relic,New Relic Personal API Key,new_relic_personal_api_key,False,True,False,False,False
New Relic,New Relic REST API Key,new_relic_rest_api_key,False,True,False,False,False
Oculus,Oculus Access Token,oculus_access_token,False,True,False,False,False
OneChronos,OneChronos API Token,onechronos_api_key,False,True,False,False,False
OneChronos,OneChronos Expressive Bidding API Key,onechronos_eb_api_key,False,True,False,False,False
OneChronos,OneChronos Expressive Bidding Encryption Key,onechronos_eb_encryption_key,False,True,False,False,False
OneChronos,OneChronos OAuth Token,onechronos_oauth_token,False,True,False,False,False
OneChronos,OneChronos Refresh Token,onechronos_refresh_token,False,True,False,False,False
OneSignal,OneSignal Rich API Key,onesignal_rich_authentication_token,True,False,False,False,False
Onfido,Onfido Live API Token,onfido_live_api_token,True,True,True,False,False
Onfido,Onfido Sandbox API Token,onfido_sandbox_api_token,True,True,True,False,False
OpenRouter,OpenRouter API Key,openrouter_api_key,True,True,True,False,False
OpenVSX,OpenVSX Access Token,openvsx_access_token,False,True,False,False,False
Openweather,Openweather API Key,openweather_api_key,False,True,False,False,False
Oracle,Oracle API Key,oracle_api_key,True,False,False,False,False
Orbit,Orbit API Token,orbit_api_token,False,True,False,False,False
Paddle,Paddle API Key,paddle_api_key,True,True,False,False,False
Paddle,Paddle Sandbox API Key,paddle_sandbox_api_key,True,True,False,False,False
PagerDuty,PagerDuty OAuth Secret,pagerduty_oauth_secret,False,True,False,False,False
PagerDuty,PagerDuty OAuth Token,pagerduty_oauth_token,False,True,False,False,False
Palantir,Palantir JSON Web Token,palantir_jwt,True,True,False,False,False
Pangea,Pangea Token,pangea_token,False,True,False,False,False
Persona  Identities,Persona Production Api Key,persona_production_api_key,True,True,True,False,False
Persona  Identities,Persona Sandbox Api Key,persona_sandbox_api_key,True,True,True,False,False
Pineapple Technologies Limited,Pineapple Technologies Incident API Key,pineapple_technologies_incident_api_key,True,True,False,False,False
Pinecone,Pinecone API Key,pinecone_api_key,False,True,True,False,False
Pinterest,Pinterest Access Token,pinterest_access_token,True,True,False,False,False
Pinterest,Pinterest Refresh Token,pinterest_refresh_token,True,True,False,False,False
Planning Center,Planning Center OAuth Access Token,planning_center_oauth_access_token,True,True,True,False,False
Planning Center,Planning Center OAuth Application Secret,planning_center_oauth_app_secret,True,True,False,False,False
Planning Center,Planning Center Personal Access Token,planning_center_personal_access_token,True,True,False,False,False
Plivo,Plivo Auth ID,"plivo_auth_id, </br>plivo_auth_token",True,True,False,False,False
Polar,Polar Access Token,polar_access_token,True,True,True,False,False
Polar,Polar Authorization Code,polar_authorization_code,True,True,False,False,False
Polar,Polar Client Registration Token,polar_client_registration_token,True,True,False,False,False
Polar,Polar Client Secret,polar_client_secret,True,True,False,False,False
Polar,Polar Customer Session Token,polar_customer_session_token,True,True,False,False,False
Polar,Polar Personal Access Token,polar_personal_access_token,True,True,False,False,False
Polar,Polar Refresh Token,polar_refresh_token,True,True,False,False,False
Polar,Polar User Session Token,polar_user_session_token,True,True,False,False,False
PostHog,PostHog Feature Flags Secure API Key,posthog_feature_flags_secure_api_key,True,True,False,False,False
PostHog,PostHog OAuth Access Token,posthog_oauth_access_token,True,False,False,False,False
PostHog,PostHog OAuth Refresh Token,posthog_oauth_refresh_token,True,True,False,False,False
PostHog,PostHog Personal API Key,posthog_personal_api_key,True,True,False,False,False
Proctorio,Proctorio Consumer Key,proctorio_consumer_key,True,True,False,False,False
Proctorio,Proctorio Linkage Key,proctorio_linkage_key,True,True,False,False,False
Proctorio,Proctorio Registration Key,proctorio_registration_key,True,False,False,False,False
Proctorio,Proctorio Secret Key,proctorio_secret_key,True,True,False,False,False
Proof,Proof Full Access API Key,proof_full_access_api_key,True,True,False,False,False
Rainforest Pay,Rainforest API Key,rainforest_api_key,True,True,False,False,False
Rainforest Pay,Rainforest Sandbox API Key,rainforest_sandbox_api_key,True,True,False,False,False
Ramp,Ramp OAuth Client ID,ramp_client_id,True,True,False,False,False
Ramp,Ramp OAuth Client Secret,ramp_client_secret,True,True,False,False,False
Ramp,Ramp OAuth Access or Refresh Token,ramp_oauth_token,True,True,False,False,False
Raycast,Raycast Access Token,raycast_access_token,True,True,False,False,False
redirect.pizza,redirect.pizza API Token,redirect_pizza_api_token,True,True,True,False,False
Replicate,Replicate API Token,replicate_api_token,True,True,True,False,False
Rootly,Rootly API Key,rootly_api_key,False,True,True,False,False
RunPod,RunPod API Key,runpod_api_key,True,True,True,False,False
Salesforce,Salesforce Access Token,salesforce_access_token,False,True,False,False,False
Salesforce,Salesforce Marketing Cloud API OAuth2 Token,salesforce_marketing_cloud_api_oauth2_token,False,True,False,False,False
Salesforce,Salesforce OAuth2 Consumer Key,"salesforce_oauth2_consumer_key, </br>salesforce_oauth2_consumer_secret",False,True,False,False,False
Salesforce,Salesforce Refresh Token,salesforce_refresh_token,False,True,False,False,False
Samsara,Samsara API Token,samsara_api_token,True,True,False,False,False
Samsara,Samsara OAuth Access Token,samsara_oauth_access_token,True,True,False,False,False
Scalr,Scalr API Token,scalr_api_token,True,True,True,False,False
Segment,Segment Public API Token,segment_public_api_token,True,True,True,False,False
Shopee,Shopee Open Platform Partner Key,shopee_open_platform_partner_key,True,True,False,False,False
Siemens,Siemens API Token,siemens_api_token,True,True,True,False,False
Siemens,Siemens Code Token,siemens_code_token,True,False,False,False,False
Sindri,Sindri API Key,sindri_api_key,True,True,False,False,False
Snowflake,SFPG Connection String,snowflake_postgres_connection_string,True,True,False,False,False
Snowflake,SFPG Host,"snowflake_postgres_host, </br>snowflake_postgres_password",True,True,False,False,False
Snowflake,Snowflake Programmatic Access Token,snowflake_programmatic_access_token,True,True,False,False,False
SSLMate,SSLMate API Key,sslmate_api_key,True,True,True,False,False
SSLMate,SSLMate Cluster Secret,sslmate_cluster_secret,True,True,False,False,False
Supabase,Supabase Personal Access Token,supabase_personal_access_token,True,True,False,False,False
Supabase,Supabase Secret Key,supabase_secret_key,True,True,False,False,False
Supabase,Supabase Service Key,supabase_service_key,True,False,False,False,False
Tableau,Tableau Personal Access Token,tableau_personal_access_token,False,True,False,False,False
Tailscale,Tailscale API Key,tailscale_api_key,True,False,True,{% ifversion ghes %}false{% else %}true{% endif %},False
Telnyx,Telnyx API V2 Key,telnyx_api_v2_key,True,True,True,False,False
Temporal,Temporal Cloud API Key,temporal_cloud_api_key,True,True,False,False,False
Tencent,Tencent Cloud International Access Token,tencent_cloud_intl_access_token,True,False,False,False,False
Tencent,Tencent Cloud Secret ID,tencent_cloud_secret_id,True,True,False,False,False
Tencent,Tencent WeChat API App ID,tencent_wechat_api_app_id,True,False,False,False,False
Tencent,Tencent WeChat Pay Token,tencent_wechat_pay_token,False,False,False,False,False
Thunderstore,Thunderstore IO API Token,thunderstore_io_api_token,False,True,False,False,False
Uniwise,WISEflow API Key,wiseflow_api_key,True,True,True,False,False
Unkey,Unkey Root Key,unkey_root_key,True,False,True,False,False
Val Town,Val Town API Token,val_town_api_token,True,True,True,False,False
Vercel,Vercel API Key,vercel_api_key,True,True,False,False,False
Vercel,Vercel App Refresh Token,vercel_app_refresh_token,True,False,False,False,False
Vercel,Vercel App User Access Token,vercel_app_user_access_token,True,False,False,False,False
Vercel,Vercel Integration Access Token,vercel_integration_access_token,True,True,False,False,False
Vercel,Vercel Personal Access Token,vercel_personal_access_token,True,True,False,False,False
Vercel,Vercel Support Access Token,vercel_support_access_token,True,True,False,False,False
VolcEngine,VolcEngine Access Key ID,volcengine_access_key_id,True,True,False,False,False
VolcEngine,VolcEngine Ark API Key,volcengine_ark_api_key,True,False,False,False,False
Wakatime,WakaTime API Key,wakatime_api_key,True,True,True,False,False
Wakatime,WakaTime App Secret,wakatime_app_secret,True,True,False,False,False
Wakatime,WakaTime OAuth Access Token,wakatime_oauth_access_token,True,True,True,False,False
